,text
282,"Сорочка замечательная. Очень аккуратно сшита, никаких перекосов в крое. Брала самый большой размер для использования в качестве чехла под длинное шифоновое платье. Очень довольна заказом. Рекомендую к покупке."
283,товар отправили не на тот адрес. но деньги вернули
284,"Отличаются  от такой же модели синего цвета, при том, что заказывала одновременно. Все липнет, на ощупь как бумажные какие-то, тянутся сложнее."
285,"не скажу,  что блузка хороша, ткань непонятная, подкладка - прозрачная синтетика, кружево жесткое, отделка рукавов оставляет желать лучшего. На 96-78-102 тесновато в груди и в рукавах."
286,зачем заказала? ужасно. все в затяжках
287,"доставка очень медленная, размерная сетка не соответсвует, на размер 50-52 5XL малы, на рост 170 длина до щиколотки"
288,"Футболка нормальная, размер подошел."
289,"все нормально, хорошая ткань, рекомендую"
290,"На фото смотрится гораздо лучше, чем на самом деле. Ткань очень тонкая, вся просвечивается."
291,"Ужасная кофта. Не рекомендую. Маленькая, висит как тряпка."
292,"Обманули. Товар ждала с конца марта!!!!!! Кошмар. Товар так и не пришёл, продавец просил подождать, я открыла спор. Продавец отказался отдавать деньги. Я открыла повторный спор, деньги мне так и не вернули!!!!!!!"
293,"Все трусики разного размера, получила всю размерную сетку. Шли 2 месяца. Разочарование. Подошли только 1 из 5."
294,"Хорошая куртка. Спасибо продавцу за подарочек! На российский 46 размер xl  сел идеально, при весе 57кг. Буду заказывать ещё."
295,на ветрозащитной планке нет кнопок отсутствуют пуговицы чтобы пристегивать подклад. без теплого подклада это кусочек ткани даже нет синтепона. три звезды только за то что заказ доехал
296,"Товар так и не пришел, прождал больше двух месяцев"
297,"свой заказ так и не получила!!! а этот недобросовестный продавец взял и закрыл его!!! и теперь ни денег,ни заказа!!!"
298,вообще не соответствует размеру. очень сильно маленькие как на ребенка
299,заказ ждала 2 месяца он не разу отслеживается.но он не пришел.продавец вернул деньги
300,"Горловина блузки кривая,  рукав подшит криво,"
301,очень много ниток
302,На рукавах резинка не тянется. Ворот короткий. Карманы разного размера и маленькие. Очень тонкая. Мне она было слишком свободна.
303,"очень ждала юбку,долго не отправляли,но это все мелочи,получила в течение месяца,с продавцом не общалась.Качество говно полное,сшито из какой-то прозрачной тюли,носить такое нельзя.Я очень разочарована(((("
304,"Отличное качество, очень мягкий"
305,Рекомендую.
306,заказала 8.08. пришла 06.09. на мои ог 90 от 75 об 100 L в самый раз. рукав на тонкую руку. перешивала пуговицы. блузкой очень довольна.
307,"платье получила...не то
 что ожидала(ткань тоненькая,просвечивает,замок нашит прям так сверху....то бишь взяли обычную молию и прифигачили так, в общем не оденешь(((("
308,"Это не зимняя парка, да и мех линяет"
309,Очень коротко
310,"соответствует описанию,доставка 2 недели во владимирскую область. спасибо."
311,"Доставка не более 3 недель до Москвы,топ не плохой,единственное короткий))но под брюки с завышенной талией или юбку,будет не плохо!"
312,"Все бы ни чего, и качество ткани и швы, но на брюках при распаковке обнаружилось пятно вывески которое к сожалению ни чем не удалось( носить не смогу( "
313,ужасно маленький размер... И качество ..если за такие деньги с качеством я соглашусь..то размер....отвратительно!!!
314,"Блузка низкого качества. Материал синтетика и в ней очень жарко. Но самое главное, что на спине топорщится в районе талии. Даже если заправляешь под юбку или брюки, то все равно остаётся пузырь (( Носить, к сожалению, не буду "
315,Товар хорошего качества. Пришёл за 4 недели. 
316,"Я очень не довольна товар пришел не качественный, на фото видно! Продовец на протяжениии 30 дней обещал вернуть деньги, тянул до последнего, но так и ни чего и не зделал! Магазин не советую!!!!!!"
317,"Куртка классная ! Как раз на осень ! Цвет приятный ! Нитки не торчат , быстрая доставка . Спасибо продавцу за подарок "
318,"Товар пришёл через 3 недели,что очень порадовало, трек отслеживался. Соответствует описанию, приятный на ощупь, тёплый, размер М соответствует 42-44, капюшон не глубокий-некритично. Спасибо продавцу! Рекомендую!"
319,"не получила ,деньги вернул алиекспресс ,продавец отказался ворачивать"
320,"Товар отправили только после открытия спора. До этого все было хорошо заказ делала дважды. Отправление и получение было быстро. Я не знаю, что случилось."
321,"изделие не держится на теле, из за малого слоя силиконовой основы."
322,"Спасибо, платье по размеру подошло 46 L, ткань приятна к телу"
323,"Слишком заметные швы,расположенные не с боку по фигуре.изнаночная и лицевая части ничем не отличаются.Разочарована.
+нитки,но это дело поправимое.
Запах отсутствует."
324,"чудесно! просто все замечательно! доставка быстрая, продавец приятный, комбез великолепный. ещё и подарочек! сказка )"
325,"Спасибо продавцу, посылка пришла
 вовремя , кофта по размеру , надписи сделаны хорошо , рада что заказала именно здесь!!!"
326,"Так и не дошли, инфы по отслеживанию не было. Жду возврата денег"
327,"отличные, приятные к телу штанишки. Рост 170, ОБ 100, ОТ 74 - по размеру."
328,"Розовые мерзкого цвета, не берите. Чёрные норм. "
329,"Материал смотрится дёшево, плохо села в плечах - торчит по краям"
330,покупайте обязательно. всем советую.это находка.все спрашивают где я купила
331,"Штаны очень КОРОТКИЕ на мой рост 170 см, как бриджи"
332,"Материал грубоват ,а так ничего за эти деньги . Доставили быстро"
333,продавец обманывает и не отправляет заказ!!!!
334,"платье синтетика, электризуется, и неприятно к телу, все обтягивает"
335,"Спасибо! Куртка по размеру, качество хорошее."
336,платье отличное в размер мне понравилось
337,"Описание товара не совсем точное, бельё просто огромное и смотрится не очень красиво."
338,"сидит прекрасно,пришёл быстро и
 без запаха"
339,товар не пришел деньги её вернули ужасный продавец не советую
340,Спасибо за быструю доставку!
341,Все здорово 
342,"мягкий, тёплый, на рост 170-2 и вес ~53 село идеально. запах как у новой вещи, не противный."
343,Ужасно пошито. Очень жаль.
344,"Тонкая синтетика, но за такие деньги норм, ребенок доволен"
345,Товар хорошего качества. За долгую доставку только 3 звезды
346,Короткая. На юбке есть пятно черное.
347,"Пришла посылка, но у меня она так и не появилась, тупо на почте отдали кому то другому. Короче не могу сказать какой товар. В жопу почту России. Продавцу спасибо, общительный, пытался помочь. "
348,"Нет вытачек на груди. Выглядит, как мешок. Ткань норм, тонкая синтетика."
349,"Приятная, нежная ткань. Хороший комплект. только цвет не такой сочный, как на картинке."
350,"куртка качественная,на прохладную осень. Размер,который посоветовал продавец по моим параметрам, оказался велик. в эту куртку две меня влезет, поэтому 1. Печально:("
351,i love this jeans
352,"Очень красивая качественная майка, спинка отделана очень качественно. смотрится просто супер. Доставка домой курьером"
353,Маловата в груди(( и манжеты куцые какие то
354,"Посылка пришла быстро,размер подошел,качество отличное
Все супер"
355,Маломерка жуткая！ Максимум на 46 размер. Я со своим 50 не влезла. Рукава очень узкие！ Талия не тянется. Качество ткани приличное. Отдам подружке... Хорошо взяла за 360 руб. Не жалко.
356,товар не пишел. никакого общенияс продавцом не рекомедую продавца!!!!
357,"Товар супер продавца рекомендую доставка
 2 недели до Екатеринбурга качество хорошее"
358,Кофточка оказалось очень маленькой. Пришлась в пору моей 5-ти летней племяннице.
359,"Мне понравилась эта блуза из за красивой горловины на фото, а на  самом деле она совсем другая, просто обрезано кружево и рукав  такой же. Я разочарованная"
360,Хорошая майка! Все как на картинке и качество хорошее !
361,"очень довольна товар пришёл за дней 10 , спасибо продавцу))"
362,"Товар ждал 4-месяца (продавец продлял защиту ) , товар не пришёл, деньги вернули."
363,супер пупер
364,Очень мала. Размер ХХХL не соответствует. Подошла на 44-46 размер.
365,Ужасссноооо. Я не довольна. 
366,"Спасибо, очень довольна товаром. Рейтинг мягкие, не стягивают ноги, приятны к телу. На 46 размер заказала хl,  сели отлично."
367,"пришла майка, только в другой город"
368,сшито очень хорошо но цвет совсем не такакой как на картинке.
369,Люди не покупайте у этого продавца ничего он посылку мне так и не отправил а заказала я ее 3 месяца назад вот и деньги не вернул урод знайте этого продавца и ничего у него не заказывайте 
370,"Размер  соответствует российскому 40-42, но хорошо тянется. Материал мягкий, приятный. Но на моей юбочке были дефекты-непрошитая строчка и дырочка. Правда продавец тут же вернул деньги. "
371,"ждала заказ 3 месяца,товар так и не пришел. доставка была платная,но трек не отслеживался вообще. деньги вернули полностью за 2 дня"
372,"заказ не пришел, деньги так и не вернули!!!!!"
373,"отличная жилетка.  брала размер м на параметры 88-67-92. внизу широковата,  не приталеная.  на карманах нет молний,  качество пошива отличное. доставка три недели,  трек отслеживался.  наполнение пухом нормальное."
374,"Отличные Ленинск. Яркие, мягкие. На мой 42 р-р и рост 165 см сели отлично, есть запас в длине"
375,"Кофта на 3 размера меньше, по пуп, 100% синтетика!  2 звезды,  только за то, что вернули часть денег."
376,"качество ткани отвратительное, как стекло. воротник форму не держит вообще. не стоит даже этих денег."
377,"Ткань тонкая. Сложно одевать, не расстёгивается сбоку, а через голову сложно влезть. По длине мал. "
378,товар не получила. деньги не получила. полное кидалово.
379,"голая синтетика, как на картинке не сидит, можно и 2 поставить, но сама знала, что за такую цену ничего хорошего не будет, поэтому ставлю ради продавца 5"
380,Платье пришло. Хороший товар. Продавцу 5 звёзд.
381,товар так и не получен. но деньги продавец вернул очень быстро.
382,"Доставка быстрая до Новосибирска ,ветровка отличная ,сшита хорошо по размеру подошла только рукава коротковаты мне ,придётся задирать как три четверти ,а так все отлично !Спасибо !"
383,"Очень тугие резинки на чулках, пришлось стягивать их намного ниже, чем обычно должны носится , натянула чуть выше колен, чтобы не давило! Мой размер М, чулки наверное рассчитаны на s или даже на xs"
384,"Инопланетянин плохой,шло месяц,не подошёл по размеру,взяла размер s,оказались большие рукава,и она делает вас квадратным,не советую,рисунок после стирки сотрется"
385,"М на рост 157, объем рук 28 сидит хорошо правда руки чуть сковывает, длинный.
Сам по себе мягкий и красивый"
386,прошло два месяца товара нет. Верните деньги
387,"Размер М на бёдра 95 очень короткий, как трусы "
388,"На российский 46, взяла L и оказалась широковата.Ну на дачу пойдёт.Запаха нет.  Цвет рисунок всё ок. Тонкий, но тёплый. Немного торчат нитки, но не страшно"
389,"Товар не соответствует описанию, ни по качеству, ни по размеру, ни по цвету"
390,"пошла вся в пятнах,так ещё и по шву разрыв"
391,"товар не соответствует тому,что на картинке"
392,It doesn't look like on photo at all. Size is too small 
393,"Размер не соответствует, s как m, фасон странный, сама кофта широкая, спереди короткая, рукава длинные, носить не буду."
394,"товар не получен, но деньги возвращены. Продавец всегда на связи."
395,Гавно
396,"Подходят всем, и детям и взрослым)))"
397,"Отличный джемпер, все как на фото. Рукава на рост 172 см в самый раз. Длина хорошая. Советую."
398,"Доставка очень быстрая,12 дней. На мой 52 размер, заказывала 4xl. Рукава короткие попу не закрывает, очень  тонкая. Карманы маленькие и капюшон тоже. Короче не соответствует картинке. Не стоит этих денег. "
399,"Продавец прислал товар с дефектами, денег не вернул - должна обратно отправить "
400,"супер
достаточно теплая, на позднюю осень
пойдет
В жизни выглядит лучше, чем на фото, и сидит отлично"
401,"Продавец долго отправлял заказ. Футболка понравилась. Идёт в размер. Ношу S,   взяла М. Свободно в талии"
402,"Хороший топ, подойдёт на русский 42-44, длина 52 см"
403,Не соответствует описанию((
404,Шапку покупала ребёнку из за пампона (он чёрный)так вот он совсем не держится на шапке!!!продавцу написала об этом но он игнорит!
405,"Платье,    на картинке лучше,  чем на самом деле. Пошито разными нитками,  которые торчат.Кружево пришито криво.  У кого узкая талия,  надо ушивать."
406,"Товара нет пол года ,деньги не возвращают,может почта России тупит,но они сказали не знают где товар "
407,заказать надо было на размер меньше
408,"замечательно, точно как в описании, очень симпатичный комплект"
409,"Отличное качество, никакого запаха , ткань приятная к телу, по ощущениям как вискоза. Заказом очень довольна, трек отслеживался."
410,"Отличная рубашка! Заказывала маме - село хорошо. Материал приятный, фасон интересный. 
Цвет как в объявлении (на фото смотрится более кирпичным из-за желтого освещения)."
411,"заказала 6 цветов, забрали денег за 6 трусов 252рублей.а прибыли 1ш трусов."
412,"Заказ не получила, но деньги вернули"
413,"Леггинсы классные, хорошо тянутся. Брала два цвета. Очень довольна. Закажу еще в подарок. Спасибо продавцу!"
414,"шапка маленькая, на ребенка"
415,"чашечки плоские, сплющили грудь  не смотря на то что мой размер 75 с, 75D оказался мал! грудь вываливается, нагибаться тоже не удобно сразу грудь наружу!"
416,Доставленные лосины не соответствуют заказанным. Невнимательность сотрудников ведёт к разочарованию покупателей!
417,"заказала 9.08, 23.08 уже пришло в Крым. описанию соответствует. очень милые. синтетика, но приятная и не пахнет:)"
418,"Нормально, но на грудь 85д узковато "
419,"Носочки очень крутые, рисунок хороший, две полоски снизу приносят мне эстетическое наслаждение)) заказала 17 октября, пришли уже 5 ноября в Москву "
420,"доставка до Иркутской области чуть больше месяца. принёс курьер. качество просто супер. размер на мой 52-54 подошёл 5xl очень хорошо. запаха нет , хлопок ,швы ровные, нитки не торчат. костюм просто супер. длина брюк 7/8"
421,"Брала мама 52 размер, отлично подошёл , претензии не имею .. в носке приятен и красив )) чёрный цвет хорошо смотрится )) спасибо продавцу "
422,Заказала с пришла очень большая 
423,доставка быстрая. отслеживаются
424,"Прекрасный костюм.Мягкий,уютный и очень тёплый!!на 88-67-90 и рост 170 подошёл прекрасно.стоит своих денег.рекомендую.спасибо продавцу за качественный товар и быструю доставку!!"
425,"бюстгалтер с нитками, трусики хорошие. Доставка странная"
426,"Не указан материал, сделано очень грубо, швы плохие, мне попался с дыркой на рукаве."
427,"Приятные к телу , мягкие , пришли за месяц в Новосибирскую область ."
428,ткань неизвестная....очень тонкая....куда его носить даже незнаю....
429,"Качество хорошее. Но цвет не тот как на фото. Заказывала ментол, по факту просто темно зеленый."
430,Топик отличный. Принт супер качества и материал приятный на ощупь. Все как на картинке и в описании. Покупкой довольны.
431,"Заказ не пришёл, и деньги тоже ни кто не вернул!!! "
432,"заказ не пришла.открыла спор, деньги вернули"
433,жесть...нитки весят чуть ли не до колен-единственный минус
434,Качество отличное. Всем советую продавца.
435,"футболка не соответствует картинке:(
что меня очень огорчило..
а так не плохая футболка"
436,Для меня по длине это не платье к сожалению) ношу как пиджак) 
437,"очень милая юбочка,но блин на мой  рост(170) она короткая,но на лето сойдет ,спасибо продавцу"
438,"Шикарное платье!!!!!!! Это моя лучшая  покупка! Кто сомневается, берите - не пожалеете! Я взяла М, на параметры: 88-70-92. село идеально. Доставка курьером, через месяц!"
439,прибыло быстро. качество отличное. на 160 очень хорошо.  продавцы молодцы:)!
440,Отличные носочки. Все полностью соответствует фото. Продавец хорошо упаковал - каждая пара на плотной картонке. Очень советую!
441,платье не пришло и деньги не вернули!!!
442,"Заказ пришёл очень быстро. Спасибо продавцу. Блузка смотрится хорошо, но вот на одном рукаве манжет не прострочен,дырка по шву, это минус за качество, заказала S размер, как бы не было мало. Примерка состоится, отзыв дополню."
443,"немного не подошел по размеру,а так качество нормальное"
444,очень классные!
445,"по доставке все хорошо, размер подошел,на изделии отсутствует состав ткани это очень плохо, на ощуп много синтетики"
446,"заказ так и не получила, алиэкспресс вернул деньги"
447,"Отличная блузка, за 320 руб, доставка примерно месяц, трек отслеживается, на рост 170, вес 56 брала М, как влитая. СПАСИБО ПРОДАВЦУ! "
448,лосины супер всегда у него буду заказывать рисунок четкий
449,"Очень плохое качество товара, плохо прошито,  местами отверстия. Еще и  размер другой прислали."
450,"По трек номеру посылка доставленна, но куда и как никто не в курсе.  Денег не вернуть.  Товара нет."
451,"очень не довольна, это не платье а просто ужас!!! Не соответствует картинке."
452,"ужасный костюм,который ужасно маломерит,да и просвечивает"
453,"Супер качество , трек отслеживается ! Рекомендую "
454,"Пришла куртка быстро, немного есть запах, а так в принципе довольна"
455,Не аккуратно прошито
456,"Товар где то потерялся, открыл спор - вернули деньги"
457,"Очень!!! долгая отправка и долгая доставка!!! 2 месяца!!! Сам свитер красивого красного цвета, фасон пока непривычный, пахнет пылью, конечно, столько идти, запылился по дороге"
458,на 50 размер в обтягон. а так нормально. с продавом не общалсь.
459,ношу размер s она для меня огромная.Вышевка проделана плохо.
460,очень тонкая шапка. думала будет потолще. но красивая. сидит на голове комфортно. и мне идёт.  в общем нормально. но шла очень долго.
461,"Принты, причем только с верхней стороны. Первые 3-4 раза лучше стирать в дали от другой одежды."
462,"трусики отличные,мягкие приятные к телу,размер соответствует таблице"
463,сильный запах.  вид ношеный. рукова короткие.
464,"Цвет пришел не тот который заказывала, много торчащих ниток, на размер 40-42(XS) большой, сидит как мешок, общение с провод ужасно"
465,"все как в описании,доставка быстрая, хороший материал."
466,"Ужасное качество ткани, штаны короткие , широкие внизу,  картина не соответствует  совершенно , не покупайте такой  ужас, ещё и воняет ужасно, даже дома носить не возможно, выкинула :("
467,синтетика галимаЯ. своих денег не стоит.
468,Быстро и в хорошем качестве
469,На рост 176 очень корткие. Как капри. Очень плохо
470,Доставка 15 дней. Заказываю уже второй комплект. Очень нравится)))
471,Пришли с дырочкой !
472,плохой шов!!!!
473,заказ не соответствует описанию
474,"!!!ужасный товар!!! XXXL??!! точно нет!! маленькие, короткие, ткань просто ЖУТЬ! с неприятным химическим запахом и белесыми пятнышками посреди тёмно-синего в местах, где нет рисунка!!¿
НЕ рекомендую!"
475,"приятный материал, на 46 размер брала xl - как раз. рисунок мельче, чем на фото."
476,"Заказ пришёл быстро, продавец на все вопросы ответил быстро. Был небольшой брак, но продавец вернул деньги. Ставлю пять звёзд."
477,"по качаству хорошая, но оказалась чутка короткой."
478,"получила заказ, размер не подошел, плюс пятно возле ворота( ожидала от заказа большего("
479,"Маленький размер, очень посредственное качество, неприятный запах."
480,брат с дыркой
481,"ожидала другого,с цветом все впорядке но вот сам фасон вообще не сидит и не подчеркивает фигуру ...как в мешке,ленты тоже кое как вставлены все рваные ....рукава короткие хотя рост у меня 164 "
482,"У свитера очень неприятный запах был. Ткань совсем лёгкая. Я не в восторге, может после стирки и лёгкой глажки будет выглядеть приличнее"
483,"пришел товар быстро, но абсолютно не тот размер чашки огромные  заказала 80 А"
484,"долго шел, нитки торчат"
485,Too long. And a bit too tight in the chest.
486,"Очень классные джинсы ,  довольно плотные  и приятные к телу ,  посылка пришла менее чем за 3 недели , носить буду с удовольствием ! 
Спасибо!"
487,"пришли быстро, правда брюки синтетические, хотела в них по жому ходить, но похоже буду ходить в них на тренеровку"
488,огонь!
489,"Все круто. Сшито качественно, ничего не торчит и ткань очень приятная "
490,"Нормальная рубашка. Своих денег наверно не стоит, но ничего ужасного в ней нет. Нитки торчат, но сшито ровно. Не пахнет почти "
491,очень хорошая ветровка. качество просто супер. соответственно описанию.
492,"Кофточки очень хорошие, заказывала розовую и черную. Розовая чуть меньше и больше в обтяг, черная села идеально. А так на 42-44 обе хорошо подошли."
493,Качество матерьяла - фууу
494,"На фото выглядит лучше, чем есть на самом деле, на рост 170 коротковата"
495,Теплая куртка 3XL очень маленький размер.Такой же 2ХL намного больше.Как детский размер.Куртка очень маленькая.Не подошла.Жалко.Очень красивый цвет.
496,"заказ так и не пришел,спор одобрен,но деньги так и не вернули."
497,товар не отслеживался и не пришел очень обидно !!!(((
498,"Классная штука,пришла быстро ,прям в почтовый ящик"
499,"Цвет не ровный, окрашено кусками. В области груди выдран клочок. Внизу тесемки  не в некоторых местах оторваны на половину. Не похоже на кожу. Очень короткая"
500,"Жутко лезут волосы,все вокруг в этих волосах от кофты"
501,хорошее качественное пальто. размерная сетка верная.  быстрая отправка и доставка.  Я очень довольна.  спасибо большое!
502,"Товар не пришёл, деньги вернули . "
503,"качество самой ткани  хорошее, но уже после второй носки полез рукав и просто начал расходиться по шву , шов вообще никакой ,слабый, разлетелся разом, в самый неподходящий момент"
504,"очень довольна заказом, даже не ожидала что она такая классная, мягенькая и приятная к телу. Доставка быстрая, меньше месяца. Спасибо продавцу."
505,"Товар не плохой, но много ниток торчит"
506,"кофточка хорошая, но, к сожалению, рукав был порван. продавец аккуратно заштопал дырку, то шов все равно виден."
507,"Продавец не отправил товар и дал чужой трек. Недели 2 кормил обещаниями, что отправит, пока не открыла спор. Деньги вернул сразу!!!!!"
508,"бомбезная шапка,под спортивную одежду -класс,товар рекомендую,спасибо продавцу ✌и пришла за две недели,хотя я выбирала платную доставку,теперь закажу серую"
509,"С И Н Т Е Т И К  А!  с большой буквы. искриться,потрескивает, ни грамма ,ни ниточки натурального в этой вещи, носить не возможно."
510,Жестко маломерит
511,"товар так и не пришел, по истечении 4 месяцев продавец не хотел возвращать деньги, пока не вмешался алиэкспресс"
512,вообще огромное. учесть я заказала L пришло на 5 размеров больше. и материал просто ужасен
513,"Очень хорошее качество, жене оч понравился комплектик, на размер 44, заказывали S,можно было и XS"
514,"продавец что-то напутал с адресом.Половину пути трек отслеживания потом нет.очень долго отправлял.Вообщем заказывала на лето,но оно к сожалению прошло.....в целом цена-качество соответствует"
515,"посылка, пришла,  отслеживалась,  но свитер короткий только на худощавых, да ещё там дырка на спине!!!!  ну и как такое носить?? петли не спущенные а разрезанно полотно!!!"
516,"заказ не пришел, но продавец сразу вернул деньги. Спасибо!"
517,"Товар не пришёл . Ждала ооооочень долго . Но в итоге попросила вернуть деньги . Вернули быстро, буквально на следующий день . "
518,"Шло долго, нитки торчат везде, хотели носить осенью а уже зима...Так что до весны, там и затестируем."
519,"вид футболки хороший, но при примерке отвалилась сразу 2 кнопки.  хотя размер подошел идеально."
520,"Просвечивает сильно. По дороге потерялась на месяц, думала уже не придеь"
521,"Рисунок неяркий, размер просто огромный. Одновременно у этого продавца заказала футболку того же размера - села хорошо."
522,"Всем довольна, вот только с размером не угадала. Так ношу 40-42 размер и заказала s, а платье маломерит( впритык вверху-руки и грудная клетка, а внизу все отлично( 82-63-86)"
523,Заказывал размер М продавец тянул время с отправкой и наконец прислал размерXL да и ещё рукав рваный
524,"доставка больше месяца. Качество ужасное, лосины тонкие, просвечивают сильно! "
525,"Второй раз заказываю у этого продавца, первый раз все прошло замечательно, пришли быстро, хорошего качества.В этот раз не повезло, все в дырках, потертостях. Пришли быстро за 2 недели. Открыла спор вернули всю сумму."
526,"Прошито не аккуратно, на рукаве есть распущенные нитки."
527,"рост 172 нашу одежду 46-48 размера. Чулки подошли идеально. Мягкие,без запаха. Рекомендую."
528,"ЭТО БЕЗОБРАЗИЕ,ПОССЫЛКА НЕ ПРИШЛА,ПРОДАВЕЦ НЕ ОТВЕЧАЕТ,ДЕНЬГИ НЕ ВОЗВРАЩАЮТ,1 ВАМ."
529,Спасибо за платье.Отличное. По размеру подошло.
530,Оказалась мала 
531,I really liked it!! Thank you so much!
532,"Блузка очень понравилась! Полностью соответствует фото. Брала на два размера больше. Немного свободная, но я так и хотела."
533,размер очень маленький не соответствует описанию
534,"Заказали размер  М на 46, оказалось мало. У них М как как у нас XS (42). Куртка для детей, нет выточки под грудь."
535,"На правой штанине дырка размером с пятирублевую монету, прям по средине , не по шву, бракованные штаны, очень расстроена "
536,"пришло быстро недели за три. чуть чуть маловато но в целом по размеру, xl было бы лучше. свой 46-48. внутри небольшые дырки"
537,"Все путем, мягкая, теплая. Рекомендую!"
538,"Во первых платье прозрачное,во вторых швы  кривые, в третьих  нитки висят везде на платье."
539,"товар не пришел, ждала около 100 дней. деньги вернули без проблем после открытия спора. 2 звезды за общительного продавца!"
540,сшито неаккуратно..
541,"Пришло быстро,но мне не понравилось качество,соединено непонятными нитками другого цвета,их видно.Еще намного короче чем на картинке,это тоже минус"
542,"Доставка была курьером,что меня удивило,после его звонка установили время доставки.Когда я примерила пижаму,поняла,что отсутствует деталь кружева,что меня очень расстроило."
543,Рубашка хорошая ! Спасибо продавцу !
544,Заказ не получила и деньги не вернули!!
545,"Футболка понравилась.Но я заказывала оранжевую,а прислали желтую...Что меня не совсем устраивает!!!Продавцу надо быть более внимательным при отправке заказов...Доставка две недели."
546,"Доставка в СПб примерно за месяц. Свитер идеально подошел по размеру. На рост 172 - хорошо в рукавах и по длине. Цвет красивый, нежный. Приятные на ощупь. Спасибо!"
